USPS	GEOID	ANSICODE	NAME	LSAD	FUNCSTAT	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                 
NE	3120190	02398208	Greenwood village	47	A	1065563	2130	0.411	0.001	40.961818	-96.443051                                                                                                                
NE	3120225	02398209	Gresham village	47	A	696203	0	0.269	0.	41.02842	-97.401093                                                                                                                          
NE	3120260	02394248	Gretna city	25	A	6657678	0	2.571	0.	41.140046	-96.234605                                                                                                                            
NE	3120295	02398211	Gross village	47	A	331388	0	0.128	0.	42.94608	-98.569735                                                                                                                            
NE	3120365	02398215	Guide Rock village	47	A	1299516	0	0.502	0.	40.073711	-98.328803                                                                                                                     
NE	3120435	02398218	Gurley village	47	A	483874	0	0.187	0.	41.321393	-102.974419                                                                                                                         
NE	3120470	02398220	Hadar village	47	A	1026158	0	0.396	0.	42.107221	-97.450972                                                                                                                          
NE	3120540	02398221	Haigler village	47	A	628507	0	0.243	0.	40.012142	-101.938559                                                                                                                        
NE	3120610	02398224	Hallam village	47	A	557268	0	0.215	0.	40.5365	-96.786792                                                                                                                            
NE	3120680	02398226	Halsey village	47	A	501217	0	0.194	0.	41.903319	-100.269793                                                                                                                         
NE	3120750	02398232	Hamlet village	47	A	805303	0	0.311	0.	40.38445	-101.234549                                                                                                                          
NE	3120785	02398236	Hampton village	47	A	895936	0	0.346	0.	40.881115	-97.887535                                                                                                                         
NE	3120960	02398246	Harbine village	47	A	270876	0	0.105	0.	40.191627	-96.974149                                                                                                                         
NE	3120995	02398248	Hardy village	47	A	1572078	0	0.607	0.	40.011351	-97.923808                                                                                                                          
NE	3121030	02393039	Harrisburg CDP	57	S	16755501	0	6.469	0.	41.550529	-103.726684                                                                                                                       
NE	3121240	02398253	Harrison village	47	A	792255	0	0.306	0.	42.688085	-103.882471                                                                                                                       
NE	3121275	02394310	Hartington city	25	A	2594591	0	1.002	0.	42.620443	-97.267164                                                                                                                        
NE	3121345	02394316	Harvard city	25	A	1669426	0	0.645	0.	40.620076	-98.096122                                                                                                                           
NE	3121415	00838051	Hastings city	25	A	38585903	457915	14.898	0.177	40.596264	-98.39032                                                                                                                 
NE	3121660	02398269	Hayes Center village	47	A	698890	0	0.27	0.	40.511024	-101.020397                                                                                                                    
NE	3121730	02398268	Hay Springs village	47	A	974589	0	0.376	0.	42.68329	-102.689593                                                                                                                     
NE	3121765	02398478	Hazard village	47	A	658744	0	0.254	0.	41.091581	-99.077263                                                                                                                          
NE	3121835	02398480	Heartwell village	47	A	187897	0	0.073	0.	40.569907	-98.789077                                                                                                                       
NE	3121905	02394343	Hebron city	25	A	3821082	0	1.475	0.	40.168535	-97.586562                                                                                                                            
NE	3122045	02398485	Hemingford village	47	A	1760874	0	0.68	0.	42.321263	-103.075357                                                                                                                     
NE	3122080	02394349	Henderson city	25	A	1655840	3132	0.639	0.001	40.780273	-97.811513                                                                                                                   
NE	3122115	02398488	Hendley village	47	A	550532	0	0.213	0.	40.131315	-99.971192                                                                                                                         
NE	3122150	02398491	Henry village	47	A	795274	0	0.307	0.	41.997856	-104.045696                                                                                                                          
NE	3122185	02398492	Herman village	47	A	370305	0	0.143	0.	41.673825	-96.216718                                                                                                                          
NE	3122290	02398496	Hershey village	47	A	1976873	0	0.763	0.	41.160187	-100.998528                                                                                                                       
NE	3122325	02394370	Hickman city	25	A	2170725	0	0.838	0.	40.624769	-96.630571                                                                                                                           
NE	3122430	02398504	Hildreth village	47	A	1480885	0	0.572	0.	40.337832	-99.045751                                                                                                                       
NE	3122605	02398520	Holbrook village	47	A	417556	0	0.161	0.	40.30474	-100.009989                                                                                                                        
NE	3122640	00838058	Holdrege city	25	A	10945199	36417	4.226	0.014	40.439441	-99.377037                                                                                                                  
NE	3122780	02583881	Holmesville CDP	57	S	579245	3298	0.224	0.001	40.201426	-96.65885                                                                                                                    
NE	3122815	02398531	Holstein village	47	A	655196	0	0.253	0.	40.465224	-98.651043                                                                                                                        
NE	3122920	02398534	Homer village	47	A	959034	0	0.37	0.	42.322495	-96.49121                                                                                                                             
NE	3123025	02394414	Hooper city	25	A	1746193	31602	0.674	0.012	41.611373	-96.548627                                                                                                                     
NE	3123200	02398545	Hordville village	47	A	692213	0	0.267	0.	41.079361	-97.890349                                                                                                                       
NE	3123235	02398546	Hoskins village	47	A	799807	0	0.309	0.	42.112636	-97.304384                                                                                                                         
NE	3123270	02398548	Howard City (Boelus) village	47	A	1838952	1778	0.71	0.001	41.075411	-98.715322                                                                                                      
NE	3123340	02398549	Howells village	47	A	1492898	391	0.576	0.	41.724232	-97.004645                                                                                                                      
NE	3123375	02398552	Hubbard village	47	A	429110	0	0.166	0.	42.385901	-96.591487                                                                                                                         
NE	3123410	02398554	Hubbell village	47	A	880489	1385	0.34	0.001	40.008741	-97.497006                                                                                                                    
NE	3123445	02394445	Humboldt city	25	A	3455695	0	1.334	0.	40.165819	-95.944319                                                                                                                          
NE	3123480	02394447	Humphrey city	25	A	1283337	11500	0.495	0.004	41.688506	-97.485148                                                                                                                   
NE	3123550	02398563	Huntley village	47	A	964790	0	0.373	0.	40.210522	-99.290134                                                                                                                         
NE	3123655	02398566	Hyannis village	47	A	1349046	0	0.521	0.	42.000496	-101.762228                                                                                                                       
NE	3123690	02394466	Imperial city	25	A	7834700	13555	3.025	0.005	40.51442	-101.637245                                                                                                                   
NE	3123725	02583882	Inavale CDP	57	S	864814	0	0.334	0.	40.092266	-98.648391                                                                                                                             
NE	3123830	02395425	Indianola city	25	A	3231688	0	1.248	0.	40.234629	-100.419843                                                                                                                        
NE	3123970	02398575	Inglewood village	47	A	699936	0	0.27	0.	41.415965	-96.502424                                                                                                                        
NE	3124005	02583883	Inland CDP	57	S	422835	0	0.163	0.	40.595297	-98.223076                                                                                                                              
NE	3124075	02398576	Inman village	47	A	740590	0	0.286	0.	42.381915	-98.529814                                                                                                                           
NE	3124285	02398282	Ithaca village	47	A	603713	0	0.233	0.	41.159339	-96.539495                                                                                                                          
NE	3124355	02398285	Jackson village	47	A	1166506	0	0.45	0.	42.448167	-96.571302                                                                                                                         
NE	3124530	02398291	Jansen village	47	A	810020	0	0.313	0.	40.18395	-97.084783                                                                                                                           
NE	3124670	02398305	Johnson village	47	A	569248	0	0.22	0.	40.410459	-95.999865                                                                                                                          
NE	3124740	02398308	Johnstown village	47	A	1379841	0	0.533	0.	42.572103	-100.056289                                                                                                                     
NE	3124915	02398313	Julian village	47	A	227491	0	0.088	0.	40.519885	-95.867366                                                                                                                          
NE	3124950	02398318	Juniata village	47	A	1743862	0	0.673	0.	40.590165	-98.506952                                                                                                                        
NE	3125055	00838076	Kearney city	25	A	38311900	717046	14.792	0.277	40.701745	-99.082312                                                                                                                 
NE	3125160	02398336	Kenesaw village	47	A	2737736	0	1.057	0.	40.618944	-98.657585                                                                                                                        
NE	3125230	02398338	Kennard village	47	A	769968	0	0.297	0.	41.474697	-96.203696                                                                                                                         
NE	3125335	02583884	Keystone CDP	57	S	519300	0	0.201	0.	41.21874	-101.584122                                                                                                                            
NE	3125405	02398345	Kilgore village	47	A	1159714	0	0.448	0.	42.939097	-100.957305                                                                                                                       
NE	3125475	02395530	Kimball city	25	A	5364334	0	2.071	0.	41.233511	-103.651304                                                                                                                          
NE	3125510	02583885	King Lake CDP	57	S	2540505	77380	0.981	0.03	41.309669	-96.302285                                                                                                                    
NE	3125720	02806913	Kramer CDP	57	S	1217481	0	0.47	0.	40.591319	-96.873283                                                                                                                              
NE	3126150	02587008	Lakeview CDP	57	S	1578721	0	0.61	0.	41.499721	-97.377516                                                                                                                            
NE	3126175	02398392	Lamar village	47	A	203789	0	0.079	0.	40.572468	-101.979284                                                                                                                          
NE	3126315	02583886	La Platte CDP	57	S	731292	64359	0.282	0.025	41.072261	-95.926508                                                                                                                    
NE	3126350	02395644	Laurel city	25	A	3504313	0	1.353	0.	42.428757	-97.096948                                                                                                                            
